problem_id,id,agg_runtime,code,instruction_count
p04052,s916590221,0.9987394877,"#include <bits/stdc++.h>

using namespace std;

#define rep(i,a,b) for(int i=a;i<=b;i++)

#define dep(i,a,b) for(int i=a;i>=b;i--)

#define N 500005

#define inf 666666666

int in[N],pos[N],p[N],ans[N],tot,n,k;

priority_queue <int> q;

int head[N],to[N<<1],nxt[N<<1],cnt;

void add(int u,int v)

{

	cnt++;

	to[cnt]=v;

	nxt[cnt]=head[u];

	head[u]=cnt;

}

#define ls id<<1

#define rs id<<1|1

int t[N<<2];

void change(int id,int l,int r,int p,int d)

{

	if(l==r) {

		t[id]=d;

		return;

	}

	int mid=(l+r)>>1;

	if(p<=mid) change(ls,l,mid,p,d);

	else change(rs,mid+1,r,p,d);

	t[id]=min(t[ls],t[rs]);

}

int query(int id,int L,int R,int l,int r)

{

	if(t[id]>=N) return inf;

	if(l==L&&r==R) return t[id];

	int Mid=(L+R)>>1;

	if(r<=Mid) return query(ls,L,Mid,l,r);

	else if(l>Mid) return query(rs,Mid+1,R,l,r);

	else return min(query(ls,L,Mid,l,Mid),query(rs,Mid+1,R,Mid+1,r));

}

int main()

{

	int tmp;

	scanf(""%d%d"",&n,&k);

	rep(i,1,n) 

		scanf(""%d"",&tmp),p[tmp]=i;

	memset(t,0x3f,sizeof(t));

	dep(i,n,1) {

		int pos=query(1,1,n,p[i],min(n,p[i]+k-1));

		if(pos!=inf) {

			add(p[i],p[pos]);

			in[p[pos]]++;

		}

		pos=query(1,1,n,max(1,p[i]-k+1),p[i]);

		if(pos!=inf) {

			add(p[i],p[pos]);

			in[p[pos]]++;

		}

		change(1,1,n,p[i],i);

	}

	rep(i,1,n) if(!in[i]) q.push(-i);

	while(!q.empty()) {

		int now=-q.top();

		ans[now]=++tot;

		q.pop();

		for(int i=head[now]; i; i=nxt[i]) {

			int v=to[i];

			--in[v];

			if(!in[v]) q.push(-v);

		}

	}

	rep(i,1,n) printf(""%d\n"",ans[i]);

	return 0;

}",3970905.375
p04052,s701341458,0.9980321279,"#include<bits/stdc++.h>

using namespace std;



const int maxn=5e5+10;



void read(int &x)

{

	char c=getchar(); x=0;

	while (c<'0'||c>'9') c=getchar();

	while (c>='0'&&c<='9') x=x*10+c-'0',c=getchar();

}



int n,k,p[maxn],q[maxn],deg[maxn];

int tote,FIR[maxn],TO[maxn<<1],NEXT[maxn<<1];

priority_queue<int> pq;



namespace SegTree{

	int mn[maxn<<2];

#define lc (nd<<1)

#define rc (nd<<1|1)

#define mid ((s+t)>>1)



	void init()

	{

		memset(mn,0x3f3f3f3f,sizeof(mn));

	}



	void update(int nd,int s,int t,int id,int val)

	{

		if (s==t) {mn[nd]=val; return;}

		if (id<=mid) update(lc,s,mid,id,val);

		else update(rc,mid+1,t,id,val);

		mn[nd]=min(mn[lc],mn[rc]);

	}



	int query(int nd,int s,int t,int l,int r)

	{

		if (l<=s&&t<=r) return mn[nd];

		int Ans=0x7fffffff;

		if (l<=mid) Ans=min(Ans,query(lc,s,mid,l,r));

		if (r> mid) Ans=min(Ans,query(rc,mid+1,t,l,r));

		return Ans;

	}

}



void addedge(int u,int v)

{

	TO[++tote]=v;

	NEXT[tote]=FIR[u];

	FIR[u]=tote;

	deg[v]++;

}



int main()

{

	int i,x;

	read(n); read(k);

	for (i=1;i<=n;i++)

		read(p[i]),q[p[i]]=i;

	SegTree::init();

	for (i=n;i>=1;i--)

	{

		x=SegTree::query(1,1,n,q[i]-k+1,q[i]);

		if (x<=n) addedge(q[x],q[i]);

		x=SegTree::query(1,1,n,q[i],q[i]+k-1);

		if (x<=n) addedge(q[x],q[i]);

		SegTree::update(1,1,n,q[i],i);

	}

	for (i=1;i<=n;i++)

		if (!deg[i]) pq.push(i);

	for (i=n;i>=1;i--)

	{

		int u=p[i]=pq.top(); pq.pop();

		for (int p=FIR[u];p;p=NEXT[p])

			if (!(--deg[TO[p]])) pq.push(TO[p]);

	}

	for (i=1;i<=n;i++) q[p[i]]=i;

	for (i=1;i<=n;i++) printf(""%d\n"",q[i]);

}
",3968498.625
p04052,s786401248,0.9478028972,"#include<cstdio>

#include<queue>

#include<cstring>

#include<algorithm>

using namespace std;

#define MAXN 500010

int a[MAXN],n,k,ans[MAXN];

int t[MAXN*4];

int Query(int i,int l,int r,int L,int R)

{

	if(L>R) return t[0];

	if(L<=l&&r<=R) return t[i];

	int mid=(l+r)/2;

	if(R<=mid) return Query(i<<1,l,mid,L,R);

	if(L>mid) return Query(i<<1|1,mid+1,r,L,R);

	return min(Query(i<<1,l,mid,L,R),Query(i<<1|1,mid+1,r,L,R));

}

void Change(int i,int l,int r,int p,int w)

{

	if(l==r)

	{

		t[i]=w;

		return;

	}

	int mid=(l+r)/2;

	if(p<=mid) Change(i<<1,l,mid,p,w);

	else Change(i<<1|1,mid+1,r,p,w);

	t[i]=min(t[i<<1|1],t[i<<1]);

}

int Adj[MAXN],V[MAXN*2],nxt[MAXN*2],c,d[MAXN];

void AddEdge(int u,int v)

{

	d[v]++;c++;V[c]=v,nxt[c]=Adj[u];Adj[u]=c;

}

priority_queue<int ,vector<int>,greater<int> >Q;

void TopSort()

{

	for(int i=1;i<=n;i++) if(!d[i]) Q.push(i);

	int tot=0;

	while(!Q.empty())

	{

		int u=Q.top();Q.pop();

		ans[u]=++tot;

		for(int i=Adj[u];i;i=nxt[i])

			if(!--d[V[i]])

				Q.push(V[i]);

	}

}

int main()

{

//	freopen(""swap.in"",""r"",stdin);

//	freopen(""swap.out"",""w"",stdout);

	scanf(""%d%d"",&n,&k);

	for(int i=1;i<=n;i++)

	{

		int x;

		scanf(""%d"",&x);

		a[x]=i;

	}

	if(k<=1)

	{

		for(int i=1;i<=n;i++)

			printf(""%d\n"",i);

		return 0;

	}

	memset(t,0x3f3f3f3f,sizeof t);

	for(int i=n;i;i--)

	{

		int x=Query(1,1,n,a[i]+1,min(a[i]+k-1,n));

		if(x<1e9) AddEdge(a[i],a[x]);

		x=Query(1,1,n,max(a[i]-k+1,1),a[i]-1);

		if(x<1e9) AddEdge(a[i],a[x]);

		Change(1,1,n,a[i],i);

	}

	TopSort();

	for(int i=1;i<=n;i++)

		printf(""%d\n"",ans[i]);

}",3697967.7
p04052,s670036238,0.1047640583,"#include<set>

#include<map>

#include<cmath>

#include<queue>

#include<bitset>

#include<string>

#include<cstdio>

#include<cctype>

#include<cstdlib>

#include<cstring>

#include<cassert>

#include<sstream>

#include<numeric>

#include<iostream>

#include<algorithm>

#include<functional>



#define For(i,x,y) for (int i=x;i<y;i++)

#define pb push_back

#define mp make_pair

#define fi first

#define se second

#define Lsn (x<<1)

#define Rsn (x<<1|1)

#define Mid ((L+R)>>1)



#define dprintf(...) fprintf(stderr,__VA_ARGS__)

using namespace std;



typedef long long ll;

typedef double db;

typedef vector<int> Vi;

typedef pair<int,int> pii;



int IN(){

	int c,f,x;

	while (!isdigit(c=getchar())&&c!='-');c=='-'?(f=1,x=0):(f=0,x=c-'0');

	while (isdigit(c=getchar())) x=(x<<1)+(x<<3)+c-'0';return !f?x:-x;

}

void Output(int x){

	if (x>=10) Output(x/10);

	putchar(x%10+'0');

}



const int N=500000+19;

const int oo=(1<<30)-1;



priority_queue<int> Q;

int A[N],d[N],C[N],res[N];

int n,k;



int Query(int x){

	int res=0;

	for (;x;x-=x&-x) res+=C[x];

	return res;

}

void Add(int x){

	for (;x<=n;x+=x&-x) C[x]++;

}



pii mn[N*4];

int plu[N*4];

int Ql,Qr;



void Build(int x,int L,int R){

	if (L==R){

		mn[x]=mp(d[L],-L);

		return;

	}

	Build(Lsn,L,Mid);

	Build(Rsn,Mid+1,R);

	mn[x]=min(mn[Lsn],mn[Rsn]);

}

void Plus(int x,int v){

	plu[x]+=v;

	mn[x].fi+=v;

}

void Down(int x){

	if (plu[x]){

		Plus(Lsn,plu[x]);

		Plus(Rsn,plu[x]);

		plu[x]=0;

	}

}

void Modify(int x,int L,int R){

	if (Ql<=L&&R<=Qr){

		Plus(x,-1);

		return;

	}

	Down(x);

	if (Ql<=Mid) Modify(Lsn,L,Mid);

	if (Qr>Mid) Modify(Rsn,Mid+1,R);

	mn[x]=min(mn[Lsn],mn[Rsn]);

}

void Change(int x,int L,int R){

	if (L==R){

		mn[x]=mp(oo,-L);

		return;

	}

	Down(x);

	Ql<=Mid?Change(Lsn,L,Mid):Change(Rsn,Mid+1,R);

	mn[x]=min(mn[Lsn],mn[Rsn]);

}



int main(){

	n=IN(),k=IN()-1;

	For(i,1,n+1) A[IN()]=i;

	for (int i=n;i;i--){

		d[A[i]]=Query(min(A[i]+k,n))-Query(max(A[i]-k,1)-1);

		Add(A[i]);

	}

	For(i,1,n+1){

		if (!d[i]) Q.push(i),d[i]=oo;

	}

	Build(1,1,n);

	For(t,1,n+1){

		int x=Q.top();Q.pop();

		res[x]=n-t+1;

		Ql=max(x-k,1);

		Qr=min(x+k,n);

		Modify(1,1,n);

		while (mn[1].fi==0){

