index,llm_prob,reference_time,new_code_time,new_code,experiment_id
0000,1.0,2690112.5,2274727.0,"#include<iostream>\n\n#include<cstring>\n\nusing namespace std;\n\nint main()\n\n{\n\n	int k;\n\n	string s;\n\n	cin>>k>>s;\n\n	if(s.length()>k)\n\n	{\n\n		for(int i=0;i<k;i++)\n\n		cout<<s[i];\n\n		cout<<""..."";\n\n	}\n\n	else\n\n	cout<<s;\n\n} ",0.0
0002,1.0,3323401.5625,2294507.625,"#include""stdc++.h""\n\nusing namespace std;\n\n#define ll long long\n\n#define vi vector<int>\n\n#define pb push_back\n\n#define pii pair<int , int>\n\n#define fast ios_base::sync_with_stdio(0)\n\n#define mx 100005\n\n#define inf 100000000000000000LL\n\nll arr[mx], dp[mx];\n\nint n, k;\n\nll solve(int pos)\n\n{\n\n    if(pos==n) return 0;\n\n    ll&ret = dp[pos];\n\n    if(dp[pos]!=-1) return ret;\n\n    ret = inf;\n\n    for(int i=1; i<=k; i++){\n\n        int nxt = pos+i;\n\n        if(nxt>n) break;\n\n        ret = min(ret, llabs(arr[pos] - arr[nxt]) + solve(nxt));\n\n    }\n\n    return ret;\n\n}\n\nint main()\n\n{\n\n    //fast;\n\n    while(scanf(""%d%d"",&n,&k)){\n\n        for(int i=1; i<=n; i++)\n\n            scanf(""%lld"",&arr[i]);\n\n        memset(dp, -1, sizeof dp);\n\n        printf(""%lld\n"", solve(1));\n\n        return 0;\n\n    }\n\n}\n\n\n",0.0
0003,1.0,2294929.25,2280437.8125,"#include""stdc++.h""\n\nusing namespace std;\n\nint main(){\n\n	int k;\n\n	string s;\n\n	cin >> k >> s;\n\n	if(s.length() > k){\n\n		for(int i = 0;i < k;i++) cout << s[i];\n\n		cout << ""..."";\n\n	}else {\n\n		cout << s;\n\n	}\n\n	return 0;\n\n}",0.0
0005,1.0,7113228.0625,2341471.0625,"#include ""stdc++.h""\n\n\n\nusing namespace std;\n\n\n\nconst int MAXN = 1000000;\n\nint A[MAXN + 1];\n\n\n\nint f(int n) {\n\n	if (n % 2 == 0) {\n\n		return n / 2;\n\n	} else {\n\n		return 3 * n + 1;\n\n	}\n\n}\n\n\n\nint main() {\n\n  ios::sync_with_stdio(false);\n\n  cin.tie(0);\n\n  int s, count = 1;\n\n  cin >> s;\n\n\n\n  for (int i = 0; i < MAXN + 1; i++) {\n\n  	A[i] = 0;\n\n  }\n\n\n\n  A[s] += 1;\n\n  while (true) {\n\n  	s = f(s);\n\n  	count++;\n\n  	if (A[s] != 0) {\n\n  		cout << count << '\n';\n\n  		break;\n\n  	}\n\n  	A[s]++;\n\n  }\n\n  return 0;\n\n}\n",0.0
0006,1.0,2386998.4375,2338878.8125,"#include""stdc++.h""\n\nusing namespace std;\n\ntypedef long long ll;\n\nconst ll inf = 1e9;\n\n#define sz              300005\n\n#define Fast            ios_base::sync_with_stdio(false);cin.tie(0);cout.tie(0);\n\n\n\nstring s;\n\n\n\nint main(){\n\n    Fast;\n\n    int a,b,c, i,j, n,m,t, cs=1;\n\n    cin>>n>>s;\n\n\n\n    if(s.size()<=n){\n\n        cout<<s<<endl;\n\n        return 0;\n\n    }\n\n    for(i=0; i<n; i++){\n\n        cout<<s[i];\n\n    }\n\n    cout<<""...""<<endl;\n\n\n\n\n\n    return 0;\n\n}\n\n\n",0.0
0007,1.0,2399079.5625,2292364.0,"# include ""stdc++.h""\n\n  using namespace std;\n\n\n\ntypedef long long int int64;\n\ntypedef unsigned long long int uint64;\n\ntypedef vector<int64> vi;\n\ntypedef vector<bool> vb;\n\ntypedef vector<char> vc;\n\ntypedef pair<int64,int64> pi; \n\nbool doubleSame(double a, double b)\n\n{ const double eps = 1e-15; return ( abs(a-b)<= eps*abs(a) ); }\n\n \n\nint main()\n\n{\n\n	int64 n,k;\n\n	cin>>n>>k;\n\n \n\n	vector<int64> h(n);\n\n	for(int64 i = 0 ; i<n ; i++)\n\n		cin>>h[i];\n\n \n\n	vector<int64> ans(n);\n\n	ans[0] = 0;\n\n	ans[1] = abs(h[1]-h[0]);\n\n \n\n	for(int64 i = 2 ; i<n ; i++)\n\n	{\n\n		ans[i] = abs(h[i]-h[i-1])+ans[i-1];\n\n		for(int64 j = 2 ; j<=i && j<=k ; j++)\n\n			ans[i] = min(ans[i],abs(h[i]-h[i-j])+ans[i-j]);	\n\n	}\n\n	cout<<ans[n-1];\n\n}",0.0
0008,1.0,2497800.4375,2419043.1875,"#include ""stdc++.h""\n\nusing namespace std;\n\n\n\nlong long n,a,m,b,qq,k;\n\nstring ss;\n\nint main() {\n\n    cin>>n>>k;\n\n    long long l[n],l1[n];\n\n    for (int i=0; i<=n; i++){\n\n        l[i]=0;\n\n        l1[i]=0;\n\n    }\n\n    for (int i=0; i<n; i++){\n\n        cin>>l[i];\n\n    }\n\n    for (int i=1; i<n; i++){\n\n        l1[i]=l1[i-1]+abs(l[i-1]-l[i]);\n\n        for (int j=1; j<=min(i*1ll,k); j++){\n\n            l1[i]=min(l1[i], l1[i-j]+abs(l[i-j]-l[i]));\n\n        }\n\n    }\n\n    cout<<max(0*1ll,l1[n-1])<<endl;\n\n}\n",0.0
0012,1.0,2779504.625,2593940.0,"#include <iostream>\n\n#include <cmath>\n\n\n\nusing namespace std;\n\n\n\nint main(){\n\n  long long int n;\n\n  cin >> n;\n\n  long long int ans = 1;\n\n  \n\n  for(int i = 1; i <= n; i++){\n\n    ans = (ans * i) % (int)(pow(10,9) + 7);\n\n  }\n\n  \n\n  cout << ans << endl;\n\n  return 0;\n\n}",0.0
0013,1.0,2504597.125,2391058.1875,"#include <iostream>\n\nusing namespace std;\n\n\n\nint main()\n\n{\n\n    int k,x;\n\n    cin >>  k >> x;\n\n    for (int i = x-(k-1);i<= x ;i++){\n\n        cout << i<<"" "";\n\n    }\n\n    for (int i = x+1 ;i<=x+(k-1) ;i++){\n\n        cout << i<<"" "";\n\n    }\n\n    cout <<endl;\n\n    return 0;\n\n}\n",0.0
0014,1.0,2363099.9375,2332440.875,"#include""stdc++.h""\n\nusing namespace std;\n\ntypedef long long ll;\n\n\n\nll read(){\n\n    ll x=0,f=1;char c=getchar();\n\n    while(c<'0' || c>'9'){if(c=='-')f=-1;c=getchar();}\n\n    while(c>='0' && c<='9'){x=x*10+c-'0';c=getchar();}\n\n    return x*f;\n\n}\n\n\n\nint n;\n\nint a[1000100];\n\npair<int,int> b[1000100];\n\n\n\nvoid upd(int x,int y){\n\n    int num1=b[x].first,num2=b[x].second,num3=b[y].first,num4=b[y].second;\n\n    b[x].first=max(num1,num3);\n\n    if(num1>num3) b[x].second=max(num2,num3);\n\n    else b[x].second=max(num1,num4);\n\n}\n\n\n\nint main(){\n\n    #ifdef LZT\n\n    freopen(""in"",""r"",stdin);\n\n    #endif\n\n    n=read();\n\n    for(int i=0;i<(1<<n);i++)\n\n        a[i]=read();\n\n    for(int i=0;i<(1<<n);i++)\n\n        b[i].first=a[i],b[i].second=-1e9;\n\n    for(int k=0;k<n;k++){\n\n        //cout<<k<<endl;\n\n        for(int i=0;i<(1<<n);i++){\n\n            if((i&(1<<k))!=0) continue;\n\n            upd(i|(1<<k),i);\n\n            //cout<<(i|(1<<k))<<' '<<i<<endl;\n\n        }\n\n    }/*\n\n    for(int i=0;i+1<(1<<n);i++){\n\n        upd(i+1,i);\n\n    }*/\n\n    int lastans=0;\n\n    for(int i=1;i<(1<<n);i++){\n\n        lastans=max(lastans,b[i].first+b[i].second);\n\n        printf(""%d\n"",lastans);\n\n    }\n\n    return 0;\n\n}\n\n\n\n/*\n\n2\n\n1 2 3 1\n\n*/",0.0
