dataset,algorithm,seed,step,run_result_str,run_result_val,run_result_type,filename_best,baseline_best_score,improvement_pct,step_portion
sat4j,gp,1,0,COMPILE_CODE_ERROR,,compile_error,0.173,0.167,-3.5928143712574716,1-20%
sat4j,gp,1,100,0.164,0.164,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,101,0.167,0.167,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,102,0.168,0.168,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,103,0.168,0.168,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,104,0.169,0.169,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,105,0.172,0.172,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,106,0.169,0.169,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,107,0.173,0.173,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,108,0.17,0.17,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,109,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,10,0.171,0.171,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,110,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,111,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,112,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,113,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,114,0.168,0.168,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,115,0.167,0.167,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,116,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,117,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,118,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,119,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,11,0.171,0.171,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,120,0.164,0.164,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,121,0.167,0.167,success,0.164,0.167,1.7964071856287438,61-80%
sat4j,gp,1,122,0.167,0.167,success,0.164,0.167,1.7964071856287438,61-80%
sat4j,gp,1,123,0.168,0.168,success,0.164,0.167,1.7964071856287438,61-80%
