index,llm_prob,reference_time,new_code_time,new_code,experiment_id
0001,1.0,2396990.8125,2396990.8125,#import <iostream>\n\n#import <sstream>\n\nusing namespace std;\n\n\n\nvoid problemOne(){\n\n      int a;\n\n      int b;\n\n      while (cin >> a >> b){\n\n            int sum = a + b;\n\n            int intLength = 0;\n\n            while (sum != 0) {\n\n                  sum /= 10;\n\n                  intLength += 1;\n\n            }\n\n            cout << intLength << endl;\n\n      }\n\n}\n\n\n\nint main(){\n\n      problemOne();\n\n},0.0
0001,1.0,2299592.75,924298.0,#import <iostream>\n\n#import <sstream>\n\nusing namespace std;\n\n\n\nvoid problemOne(){\n\n      int a;\n\n      int b;\n\n      while (cin >> a >> b){\n\n            int sum = a + b;\n\n            int intLength = 0;\n\n            while (sum != 0) {\n\n                  sum /= 10;\n\n                  intLength += 1;\n\n            }\n\n            cout << intLength << endl;\n\n      }\n\n}\n\n\n\nint main(){\n\n      problemOne();\n\n},1.0
0004,1.0,6174635.125,2332430.5,"#include <cstdio>\n\n\n\nusing namespace std;\n\n\n\nint main() {\n\n    long NUM = 1000000;\n\n    long n;\n\n	long counter = 0;\n\n	bool primeNum[NUM + 10];\n\n\n\n	long i, ii, j, len = NUM + 10;\n\n	\n\n	primeNum[0] = primeNum[1] = false;\n\n	for (i = 2; i < len; i++) primeNum[i] = true;\n\n	\n\n	ii = 4;\n\n    for(i = 2; ii < NUM;) {\n\n        if (primeNum[i]) {\n\n            for (j = ii; j < NUM; j += i) {\n\n                primeNum[j] = false;\n\n            }\n\n        }\n\n        \n\n        i++;\n\n        ii = i * i;\n\n    }\n\n    \n\n    while (scanf(""%ld"", &n) != EOF) {\n\n        counter = 0;\n\n        \n\n        for (i = 0; i <= n; i++) {\n\n            if (primeNum[i]) counter++;\n\n        }\n\n        \n\n        printf(""%ld\n"", counter);\n\n    }\n\n\n\n    return 0;\n\n}",0.0
0001,1.0,2403003.75,995192.125,#import <iostream>\n\n#import <sstream>\n\nusing namespace std;\n\n\n\nvoid problemOne(){\n\n      int a;\n\n      int b;\n\n      while (cin >> a >> b){\n\n            int sum = a + b;\n\n            int intLength = 0;\n\n            while (sum != 0) {\n\n                  sum /= 10;\n\n                  intLength += 1;\n\n            }\n\n            cout << intLength << endl;\n\n      }\n\n}\n\n\n\nint main(){\n\n      problemOne();\n\n},2.0
0001,1.0,2421160.8125,961029.4375,#import <iostream>\n\n#import <sstream>\n\nusing namespace std;\n\n\n\nvoid problemOne(){\n\n      int a;\n\n      int b;\n\n      while (cin >> a >> b){\n\n            int sum = a + b;\n\n            int intLength = 0;\n\n            while (sum != 0) {\n\n                  sum /= 10;\n\n                  intLength += 1;\n\n            }\n\n            cout << intLength << endl;\n\n      }\n\n}\n\n\n\nint main(){\n\n      problemOne();\n\n},3.0
0003,1.0,4223684.4375,3018875.5625,"#include<stdio.h>\n\n#include<math.h>\n\nbool flag[1000000];\n\nint main(void)\n\n{\n\n	long long i,j,p,n,count;\n\n	p = (long long)sqrt(1000000.0);\n\n	for(i = 3; i <= p; i = i + 2)\n\n	{\n\n		if(flag[i] == false)\n\n		{\n\n			for(j = i * i; j <= 1000000; j = j + 2 * i)\n\n			{\n\n				flag[j] = true;\n\n				\n\n			}\n\n		}\n\n	}\n\n		\n\n	while((scanf(""%lld"",&n)) != EOF)\n\n	{\n\n		\n\n		if(n == 1 || n == 0)\n\n			count = 0;\n\n		else\n\n		{\n\n			count = 1;\n\n			for(i = 3; i <= n; i = i + 2)\n\n			{\n\n				if(flag[i] == false)\n\n					count++;\n\n			}\n\n		}\n\n		printf(""%lld\n"",count);\n\n	}\n\n	\n\n\n\n		\n\n	return 0;\n\n}",0.0
0002,1.0,2397332.625,2397332.625,"#include <iostream>\n\n#include <cstdio>\n\n#include <algorithm>\n\n\n\nusing namespace std;\n\n\n\nint main()\n\n{\n\n    long long int num1 , num2, gcd , res, lcm;\n\n    while(scanf(""%lld%lld"",&num1,&num2)!=EOF){\n\n\n\n        res = num1 * num2 ;\n\n        while(num1 != num2){\n\n            if(num1 > num2)\n\n                num1 = num1 - num2 ;\n\n            else\n\n                num2 = num2 - num1 ;\n\n        }\n\n        gcd = num1 ;\n\n        lcm = res / gcd ;\n\n         printf(""%lld %lld\n"", gcd, lcm);\n\n    }\n\n    return 0;\n\n}",0.0
0001,1.0,2471206.5,953115.6875,#import <iostream>\n\n#import <sstream>\n\nusing namespace std;\n\n\n\nvoid problemOne(){\n\n      int a;\n\n      int b;\n\n      while (cin >> a >> b){\n\n            int sum = a + b;\n\n            int intLength = 0;\n\n            while (sum != 0) {\n\n                  sum /= 10;\n\n                  intLength += 1;\n\n            }\n\n            cout << intLength << endl;\n\n      }\n\n}\n\n\n\nint main(){\n\n      problemOne();\n\n},4.0
0002,1.0,2421819.5625,959545.1875,"#include <iostream>\n\n#include <cstdio>\n\n#include <algorithm>\n\n\n\nusing namespace std;\n\n\n\nint main()\n\n{\n\n    long long int num1 , num2, gcd , res, lcm;\n\n    while(scanf(""%lld%lld"",&num1,&num2)!=EOF){\n\n\n\n        res = num1 * num2 ;\n\n        while(num1 != num2){\n\n            if(num1 > num2)\n\n                num1 = num1 - num2 ;\n\n            else\n\n                num2 = num2 - num1 ;\n\n        }\n\n        gcd = num1 ;\n\n        lcm = res / gcd ;\n\n         printf(""%lld %lld\n"", gcd, lcm);\n\n    }\n\n    return 0;\n\n}",1.0
0003,1.0,4031911.9375,2996575.875,"#include<stdio.h>\n\n#include<math.h>\n\nbool flag[1000000];\n\nint main(void)\n\n{\n\n	long long i,j,p,n,count;\n\n	p = (long long)sqrt(1000000.0);\n\n	for(i = 3; i <= p; i = i + 2)\n\n	{\n\n		if(flag[i] == false)\n\n		{\n\n			for(j = i * i; j <= 1000000; j = j + 2 * i)\n\n			{\n\n				flag[j] = true;\n\n				\n\n			}\n\n		}\n\n	}\n\n		\n\n	while((scanf(""%lld"",&n)) != EOF)\n\n	{\n\n		\n\n		if(n == 1 || n == 0)\n\n			count = 0;\n\n		else\n\n		{\n\n			count = 1;\n\n			for(i = 3; i <= n; i = i + 2)\n\n			{\n\n				if(flag[i] == false)\n\n					count++;\n\n			}\n\n		}\n\n		printf(""%lld\n"",count);\n\n	}\n\n	\n\n\n\n		\n\n	return 0;\n\n}",1.0
0008,1.0,2503442.5,942125.0,"#include<iostream>\n\n#include<vector>\n\n#include<algorithm>\n\nusing namespace std;\n\n\n\nint main(){\n\n  vector<int> v,s(10001);\n\n  int a,b,n,o=0;\n\n  while(cin>>b){\n\n    fill(s.begin(),s.end(),0);\n\n    o =0;\n\n    if(b==0) break;\n\n    else{\n\n    for(int i=0;i<b;i++){\n\n      cin>>a;\n\n      v.push_back(a);\n\n    }\n\n    for(int i = 0; i < b; i++){\n\n      int sum = 0;\n\n      for(int j = i; j < b; j++){\n\n	sum += v[j];\n\n	s.push_back(sum);\n\n      }\n\n    } \n\n\n\n\n\n  int d = *max_element(s.begin(),s.end());\n\n  cout<<d<<endl;\n\n    }\n\n    s.clear(),v.clear();\n\n  }\n\n}",0.0
0009,1.0,2408095.375,942568.75,"#include""stdc++.h""\n\nusing namespace std;\n\n\n\nint a[20];\n\n\n\nbool check(int x)\n\n{\n\n	int pre = 0;\n\n	for (int i = 0; i < 10; i++) if (x & (1 << i))\n\n	{\n\n		if (a[i] < pre) return false;\n\n		pre = a[i];\n\n	}\n\n	return true;\n\n}\n\n\n\nbool dfs(int i, int x, int pre)\n\n{\n\n	if (i == 10)\n\n	{\n\n		return check(x);\n\n	}\n\n	bool temp = false;\n\n	if (a[i] > pre) temp = dfs(i + 1, x, a[i]);\n\n	return temp || dfs(i + 1, x | (1 << i), pre);\n\n}\n\n\n\nint main()\n\n{\n\n	int T;\n\n	cin >> T;\n\n	while (T--)\n\n	{\n\n		for (int i = 0; i < 10; i++) scanf(""%d"", &a[i]);\n\n		printf(""%s\n"", dfs(1, 0, a[0]) ? ""YES"" : ""NO"");\n\n	}\n\n	return 0;\n\n}",0.0
0012,1.0,3534201.9375,2684746.875,"#include<iostream>\n\n#include<string>\n\n#include<algorithm>\n\n#include<map>\n\n#include<set>\n\n#include<utility>\n\n#include<vector>\n\n#include<cmath>\n\n#include<cstdio>\n\n#define loop(i,a,b) for(int i=a;i<b;i++) \n\n#define rep(i,a) loop(i,0,a)\n\n#define pb push_back\n\n#define mp make_pair\n\n#define it ::iterator\n\n#define all(in) in.begin(),in.end()\n\nconst double PI=acos(-1);\n\nconst double ESP=1e-10;\n\nusing namespace std;\n\nint main(){\n\n  int n;\n\n  cin>>n;\n\n  rep(i,n){\n\n    string s;\n\n    string ans;\n\n    bool han=false;\n\n    if(i==0)getline(cin,s);\n\n    getline(cin,s);\n\n    rep(a,27){\n\n      rep(b,27){\n\n	string tmp=s;\n\n	rep(j,tmp.size())if(isalpha(tmp[j]))tmp[j]=(a*(tmp[j]-'a')+b)%26+'a';\n\n	rep(j,tmp.size()-3){\n\n	  if(tmp.substr(j,4)==""this""){ans=tmp;han=true;}\n\n	  if(tmp.substr(j,4)==""that""){ans=tmp;han=true;}\n\n	}\n\n	if(han==true)break;\n\n      }\n\n      if(han==true)break;\n\n    }\n\n    cout<<ans<<endl;\n\n  }\n\n\n\n\n\n}",0.0
