index,llm_prob,reference_time,new_code_time,new_code,experiment_id
0002,1.0,3171574.625,1209180.1875,"#include <iostream>\n\n#include <cstdio>\n\n#include <algorithm>\n\n\n\nusing namespace std;\n\n\n\nint main()\n\n{\n\n    long long int num1 , num2, gcd , res, lcm;\n\n    while(scanf(""%lld%lld"",&num1,&num2)!=EOF){\n\n\n\n        res = num1 * num2 ;\n\n        while(num1 != num2){\n\n            if(num1 > num2)\n\n                num1 = num1 - num2 ;\n\n            else\n\n                num2 = num2 - num1 ;\n\n        }\n\n        gcd = num1 ;\n\n        lcm = res / gcd ;\n\n         printf(""%lld %lld\n"", gcd, lcm);\n\n    }\n\n    return 0;\n\n}",0.0
0003,1.0,4884995.0625,4863836.8125,"#include<stdio.h>\n\n#include<math.h>\n\nbool flag[1000000];\n\nint main(void)\n\n{\n\n	long long i,j,p,n,count;\n\n	p = (long long)sqrt(1000000.0);\n\n	for(i = 3; i <= p; i = i + 2)\n\n	{\n\n		if(flag[i] == false)\n\n		{\n\n			for(j = i * i; j <= 1000000; j = j + 2 * i)\n\n			{\n\n				flag[j] = true;\n\n				\n\n			}\n\n		}\n\n	}\n\n		\n\n	while((scanf(""%lld"",&n)) != EOF)\n\n	{\n\n		\n\n		if(n == 1 || n == 0)\n\n			count = 0;\n\n		else\n\n		{\n\n			count = 1;\n\n			for(i = 3; i <= n; i = i + 2)\n\n			{\n\n				if(flag[i] == false)\n\n					count++;\n\n			}\n\n		}\n\n		printf(""%lld\n"",count);\n\n	}\n\n	\n\n\n\n		\n\n	return 0;\n\n}",0.0
0040,1.0,2556604.25,1520245.9375,"#include<stdio.h>\n\n#include<map>\n\n#include<algorithm>\n\nusing namespace std;\n\ntypedef pair<int,int> P;\n\nP mt[200];\n\nint dp[1000][201];//hでn個のときのrの最小値\n\nint min(int a,int b){return a<b?a:b;}\n\nint max(int a,int b){return a>b?a:b;}\n\nint main(){\n\n	int n,m;\n\n	int i,j,k;\n\n	while(1){\n\n	scanf(""%d"",&n);\n\n	if(n==0)return 0;\n\n	for(i=0;i<n;i++){\n\n		int a,b;\n\n		scanf(""%d %d"",&a,&b);\n\n		mt[i]=P(a,b);\n\n	}\n\n	scanf(""%d"",&m);\n\n	for(i=0;i<m;i++){\n\n		int a,b;\n\n		scanf(""%d %d"",&a,&b);\n\n		mt[n+i]=P(a,b);\n\n	}\n\n	sort(mt,mt+m+n);\n\n	for(i=0;i<1000;i++)for(j=0;j<=m+n;j++)dp[i][j]=1000;\n\n	for(i=0;i<m+n;i++){\n\n		int h=mt[i].first;\n\n		int r=mt[i].second;\n\n		dp[h][1]=min(dp[h][1],r);\n\n		for(j=0;j<h;j++){\n\n			for(k=0;k<m+n;k++){\n\n				if(r>dp[j][k])dp[h][k+1]=min(dp[h][k+1],r);\n\n			}\n\n		}\n\n	}\n\n	int ans=0;\n\n	for(i=0;i<1000;i++)for(j=0;j<=m+n;j++){\n\n		if(dp[i][j]!=1000)ans=max(ans,j);\n\n	}\n\n	printf(""%d\n"",ans);\n\n	}\n\n}",0.0
0041,1.0,3457575.1875,3196647.875,"#include <iostream>\n\n#include <vector>\n\n\n\nusing namespace std;\n\n\n\nint main() {\n\n	int n;\n\n	while ( cin >> n, n ) {\n\n		vector<int> h(n), r(n);\n\n		for (int i = 0; i < n; ++i) {\n\n			cin >> h[i] >> r[i];\n\n		}\n\n		int M; cin >> M;\n\n		h.resize(n+M);\n\n		r.resize(n+M);\n\n		for (int i = 0; i < M; ++i) {\n\n			cin >> h[n+i] >> r[n+i];\n\n		}\n\n		n += M;\n\n\n\n		int m[200][200] = {0};\n\n		for (int i = 0; i < n; ++i) {\n\n			for (int j = 0; j < n; ++j) {\n\n				if (h[i] < h[j] && r[i] < r[j]) {\n\n					m[i][j] = -1;\n\n				}\n\n			}\n\n		}\n\n		int ans = 0;\n\n		for (int k = 0; k < n; ++k) for (int i = 0; i < n; ++i) for (int j = 0; j < n; ++j) {\n\n			if (m[i][k] && m[k][j]) {\n\n				m[i][j] = min(m[i][j], m[i][k] + m[k][j]);\n\n			}\n\n			ans = min(ans, m[i][j]);\n\n		}\n\n		cout << (-ans + 1) << endl;\n\n	}\n\n}",0.0
0043,1.0,29911247.875,3121503.5,#include<iostream>\n\nusing namespace std;\n\n\n\nclass Answer\n\n{\n\npublic:\n\n	Answer(){day = 10; year = 365;}\n\n	\n\n	int N;	//??\???\n\n	int day;\n\n	int year;\n\n	unsigned long long count(int cnt);	//??¨??¢?´¢(???)\n\n	void set();	//??\???\n\n	void OutPut();	//???????????????\n\n	\n\n	bool empty();	//???????????¶?????????\n\n	bool ans();	//?§£???\n\n};\n\n\n\nunsigned long long Answer::count(int cnt)\n\n{\n\n	if( cnt < 0)\n\n		return 0;\n\n	\n\n	else if(cnt == 0)\n\n		return 1;\n\n	\n\n	return count(cnt - 1) + count(cnt - 2) + count(cnt - 3);\n\n}\n\n\n\nvoid Answer::OutPut()\n\n{\n\n	if( N == 0 )\n\n		return;\n\n	int ans_ = 1;	//??????????????´???\n\n	ans_ += (count( N )) / (day * year);	//??\???\n\n	\n\n	cout << ans_ << endl;;\n\n}\n\n\n\nvoid Answer::set()\n\n{\n\n	cin >> N;\n\n}\n\n\n\nbool Answer::empty()\n\n{\n\n	if( N == 0 )return false;\n\n	else return true;\n\n}\n\n\n\nbool Answer::ans()\n\n{\n\n	set();\n\n	OutPut();\n\n	return empty();\n\n}\n\n\n\nint main()\n\n{\n\n	Answer ans;\n\n\n\n	while( ans.ans() );\n\n	return 0;\n\n},0.0
0044,1.0,48703766.375,1207547.8125,"#include <iostream>\n\n#include <string>\n\n#include <algorithm>\n\n#include <stack>\n\n#include <queue>\n\nusing namespace std;\n\n\n\nint func(int kaidan,int now){\n\n	int a=0,b=0,c=0;\n\n	\n\n	if(now==kaidan){\n\n		return 1;\n\n	}else if(now>kaidan){\n\n		return 0;\n\n		}else{\n\n		a+=func(kaidan,now+1);\n\n		b+=func(kaidan,now+2);	\n\n		c+=func(kaidan,now+3);\n\n		}\n\n	\n\n	return a+b+c;\n\n	\n\n}\n\n\n\nint main(){\n\n	int n,ans;\n\n\n\n	while(cin>>n){\n\n		if(n==0)break;\n\n		ans=func(n,0);\n\n		cout<<ans/10/365+1<<endl;\n\n		\n\n		\n\n		\n\n	}\n\n	\n\n	\n\n	return 0;\n\n}",0.0
0045,1.0,49493608.5625,1214367.375,"#include <iostream>\n\nusing namespace std;\n\nint n;\n\nint saiki(int ima)\n\n{\n\n	if(ima == n)\n\n		return 1;\n\n	if(ima > n)\n\n		return 0;\n\n\n\n	int res = 0;\n\n	res += saiki(ima + 1) + saiki(ima + 2) + saiki(ima + 3);\n\n	return res;\n\n}\n\n\n\nint main() {\n\n	while (true){\n\n		cin >> n;\n\n		if (n == 0)\n\n			break;\n\n		\n\n		int ans,a;\n\n		ans = saiki(0);\n\n		a = ans;\n\n		ans /= 3650;\n\n		a %= 3650;\n\n		if( a == 0 )\n\n		{\n\n			cout << ans << endl;\n\n		}\n\n		else if( a != 0 )\n\n		{\n\n			ans++;\n\n			cout << ans << endl;\n\n			\n\n		}\n\n	}\n\n}",0.0
0046,1.0,35693007.0,1212552.1875,"#include <iostream>\n\n#include <iomanip>\n\n#include <sstream>\n\n#include <cstdio>\n\n#include <cstdlib>\n\n#include <cmath>\n\n#include <climits>\n\n#include <string>\n\n#include <vector>\n\n#include <stack>\n\n#include <queue>\n\n#include <set>\n\n#include <map>\n\n#include <algorithm>\n\n#include <functional>\n\n\n\nusing namespace std;\n\n\n\ntypedef vector<int> VI;\n\ntypedef vector<VI> VVI;\n\ntypedef vector<string> VS;\n\ntypedef pair<int,int> PII;\n\ntypedef long long ll;\n\ntypedef unsigned long long ull;\n\n\n\n#define REP( i, m, n ) for ( int i = (int)( m ); i < (int)( n ); i++ )\n\n#define UREP( i, m, n ) for ( unsigned int i = (unsigned int)( m ); i < (unsigned int)( n ); i++ )\n\n\n\n#define ITER( c ) __typeof( (c).begin() )\n\n#define IREP( c, it ) for ( ITER(c) it = c.begin(); it != c.end(); ++it )\n\n#define ALL( c ) (c).begin(), (c).end()\n\n#define RALL( c ) (c).rbegin(), (c).rend()\n\n\n\n#define PB( n ) push_back( n )\n\n#define MP( a, b ) make_pair( ( a ), ( b ) )\n\n#define EXIST( c, e ) ( (c).find( e ) != (c).end() )\n\n\n\n#define fst first\n\n#define snd second\n\n\n\n#define DUMP( x ) cerr << #x << "" = "" << ( x ) << endl\n\n#define DEBUG( x ) cerr << __FILE__ << "":"" << __LINE__ << "": "" << #x << "" = "" << ( x ) << endl\n\n\n\nVI memo;\n\n\n\nint solve( int n )\n\n{\n\n	if ( n == 0 )\n\n	{\n\n		return 1;\n\n	}\n\n	else if ( n < 0 )\n\n	{\n\n		return 0;\n\n	}\n\n\n\n	if ( memo[n] != -1 )\n\n	{\n\n		return memo[n];\n\n	}\n\n\n\n	return solve( n - 1 ) + solve( n - 2 ) + solve( n - 3 );\n\n}\n\n\n\nint main()\n\n{\n\n	while ( true )\n\n	{\n\n		int n;\n\n		cin >> n;\n\n\n\n		if ( n == 0 )\n\n		{\n\n			break;\n\n		}\n\n\n\n		memo.resize( n + 1 );\n\n		fill( ALL( memo ), -1 );\n\n\n\n		cout << solve( n ) / 3650 + 1 << endl;\n\n	}\n\n\n\n	return 0;\n\n}",0.0
0047,1.0,3404615.375,2944969.125,"#include <cstdio>\n\n#include <cfloat>\n\nusing namespace std;\n\n\n\nchar f[10][21];\n\nint n, w[10], s[10], a[10], b[10];\n\nbool u[10];\n\ndouble maxg;\n\n\n\nvoid dfs(int x, int tw, int m, double g) {\n\n  if (m == n) {\n\n    if (maxg < g) {\n\n      maxg = g;\n\n      for (int i=0; i<n; i++) {\n\n        b[i] = a[i];\n\n      }\n\n    }\n\n    return;\n\n  }\n\n  if (x>=n) {\n\n    return;\n\n  }\n\n  if (!u[x] && tw <= s[x]) {\n\n    u[x] = true;\n\n    tw += w[x];\n\n    a[m] = x;\n\n    dfs(0, tw, m+1, g + w[x]*(m+1));\n\n    tw -= w[x];\n\n    u[x] = false;\n\n  }\n\n  dfs(x+1, tw, m, g);\n\n}\n\n\n\nint main() {\n\n  while (1) {\n\n    scanf(""%d"", &n);\n\n    if (!n) break;\n\n    for (int i=0; i<n; i++) {\n\n      scanf(""%s %d %d"", f[i], &w[i], &s[i]);\n\n    }\n\n    for (int i=0; i<n; i++) {\n\n      u[i] = false;\n\n    }\n\n    maxg = -DBL_MAX;\n\n    dfs(0, 0, 0, 0.);\n\n    for (int i=n-1; i>=0; i--) {\n\n      printf(""%s\n"", f[b[i]]);\n\n    }\n\n  }\n\n  return 0;\n\n}",0.0
0049,1.0,16459470.4375,10886140.125,"#include<iostream>\n\n#include<cstdio>\n\n#include<cstring>\n\n#include<cstdlib>\n\n#include<cmath>\n\n#include<cctype>\n\n#include<queue>\n\n#include<vector>\n\n#include<algorithm>\n\n\n\nusing namespace std;\n\ntypedef long long LL;\n\n#define N 2010\n\n#define INF 0x3f3f3f\n\n\n\nint n;\n\nint maps[N][N];\n\nint dist[N], vis[N];\n\n\n\nvoid Init(int m)\n\n{\n\n    for(int i=0; i<=m; i++)\n\n        for(int j=0; j<=m; j++)\n\n        maps[i][j]=i==j ? 0 : INF;\n\n}\n\n\n\nvoid dij(int s, int m)\n\n{\n\n    for(int i=0; i<=m; i++)\n\n        dist[i]=maps[s][i];\n\n    memset(vis, 0, sizeof(vis));\n\n    vis[s]=1;\n\n\n\n    for(int i=0; i<=m; i++)\n\n    {\n\n        int Min=INF, index=-1;\n\n        for(int j=0; j<=m; j++)\n\n        {\n\n            if(!vis[j]&&dist[j]<Min)\n\n            {\n\n                Min=dist[j];\n\n                index=j;\n\n            }\n\n        }\n\n        if(index==-1) continue;\n\n        vis[index]=1;\n\n        for(int j=0; j<=m; j++)\n\n        {\n\n            if(!vis[j]&&dist[j]>Min+maps[index][j])\n\n                dist[j]=Min+maps[index][j];\n\n        }\n\n    }\n\n}\n\n\n\nint main()\n\n{\n\n    int a, b, c, Max, index, sum;\n\n    while(scanf(""%d"", &n), n)\n\n    {\n\n        Init(1100);\n\n        Max=-1;\n\n        for(int i=1; i<=n; i++)\n\n        {\n\n            scanf(""%d%d%d"", &a, &b, &c);\n\n            maps[a][b]=maps[b][a]=min(maps[a][b], c);\n\n            Max=max(Max, a);\n\n            Max=max(Max, b);\n\n        }\n\n        int s;\n\n        sum=INF;\n\n        for(int i=0; i<=Max; i++)\n\n        {\n\n            dij(i, Max);\n\n            s=0;\n\n            for(int j=0; j<=Max; j++)\n\n                s+=dist[j];\n\n            if(s<sum)\n\n            {\n\n                index=i;\n\n                sum=s;\n\n            }\n\n        }\n\n        printf(""%d %d\n"", index, sum);\n\n    }\n\n    return 0;\n\n}",0.0
