index,llm_prob,reference_time,new_code_time,new_code,experiment_id
0001,1.0,2471206.5,953115.6875,#import <iostream>\n\n#import <sstream>\n\nusing namespace std;\n\n\n\nvoid problemOne(){\n\n      int a;\n\n      int b;\n\n      while (cin >> a >> b){\n\n            int sum = a + b;\n\n            int intLength = 0;\n\n            while (sum != 0) {\n\n                  sum /= 10;\n\n                  intLength += 1;\n\n            }\n\n            cout << intLength << endl;\n\n      }\n\n}\n\n\n\nint main(){\n\n      problemOne();\n\n},4.0
0002,1.0,2421819.5625,959545.1875,"#include <iostream>\n\n#include <cstdio>\n\n#include <algorithm>\n\n\n\nusing namespace std;\n\n\n\nint main()\n\n{\n\n    long long int num1 , num2, gcd , res, lcm;\n\n    while(scanf(""%lld%lld"",&num1,&num2)!=EOF){\n\n\n\n        res = num1 * num2 ;\n\n        while(num1 != num2){\n\n            if(num1 > num2)\n\n                num1 = num1 - num2 ;\n\n            else\n\n                num2 = num2 - num1 ;\n\n        }\n\n        gcd = num1 ;\n\n        lcm = res / gcd ;\n\n         printf(""%lld %lld\n"", gcd, lcm);\n\n    }\n\n    return 0;\n\n}",1.0
0003,1.0,4031911.9375,2996575.875,"#include<stdio.h>\n\n#include<math.h>\n\nbool flag[1000000];\n\nint main(void)\n\n{\n\n	long long i,j,p,n,count;\n\n	p = (long long)sqrt(1000000.0);\n\n	for(i = 3; i <= p; i = i + 2)\n\n	{\n\n		if(flag[i] == false)\n\n		{\n\n			for(j = i * i; j <= 1000000; j = j + 2 * i)\n\n			{\n\n				flag[j] = true;\n\n				\n\n			}\n\n		}\n\n	}\n\n		\n\n	while((scanf(""%lld"",&n)) != EOF)\n\n	{\n\n		\n\n		if(n == 1 || n == 0)\n\n			count = 0;\n\n		else\n\n		{\n\n			count = 1;\n\n			for(i = 3; i <= n; i = i + 2)\n\n			{\n\n				if(flag[i] == false)\n\n					count++;\n\n			}\n\n		}\n\n		printf(""%lld\n"",count);\n\n	}\n\n	\n\n\n\n		\n\n	return 0;\n\n}",1.0
0008,1.0,2503442.5,942125.0,"#include<iostream>\n\n#include<vector>\n\n#include<algorithm>\n\nusing namespace std;\n\n\n\nint main(){\n\n  vector<int> v,s(10001);\n\n  int a,b,n,o=0;\n\n  while(cin>>b){\n\n    fill(s.begin(),s.end(),0);\n\n    o =0;\n\n    if(b==0) break;\n\n    else{\n\n    for(int i=0;i<b;i++){\n\n      cin>>a;\n\n      v.push_back(a);\n\n    }\n\n    for(int i = 0; i < b; i++){\n\n      int sum = 0;\n\n      for(int j = i; j < b; j++){\n\n	sum += v[j];\n\n	s.push_back(sum);\n\n      }\n\n    } \n\n\n\n\n\n  int d = *max_element(s.begin(),s.end());\n\n  cout<<d<<endl;\n\n    }\n\n    s.clear(),v.clear();\n\n  }\n\n}",0.0
0009,1.0,2408095.375,942568.75,"#include""stdc++.h""\n\nusing namespace std;\n\n\n\nint a[20];\n\n\n\nbool check(int x)\n\n{\n\n	int pre = 0;\n\n	for (int i = 0; i < 10; i++) if (x & (1 << i))\n\n	{\n\n		if (a[i] < pre) return false;\n\n		pre = a[i];\n\n	}\n\n	return true;\n\n}\n\n\n\nbool dfs(int i, int x, int pre)\n\n{\n\n	if (i == 10)\n\n	{\n\n		return check(x);\n\n	}\n\n	bool temp = false;\n\n	if (a[i] > pre) temp = dfs(i + 1, x, a[i]);\n\n	return temp || dfs(i + 1, x | (1 << i), pre);\n\n}\n\n\n\nint main()\n\n{\n\n	int T;\n\n	cin >> T;\n\n	while (T--)\n\n	{\n\n		for (int i = 0; i < 10; i++) scanf(""%d"", &a[i]);\n\n		printf(""%s\n"", dfs(1, 0, a[0]) ? ""YES"" : ""NO"");\n\n	}\n\n	return 0;\n\n}",0.0
0012,1.0,3534201.9375,2684746.875,"#include<iostream>\n\n#include<string>\n\n#include<algorithm>\n\n#include<map>\n\n#include<set>\n\n#include<utility>\n\n#include<vector>\n\n#include<cmath>\n\n#include<cstdio>\n\n#define loop(i,a,b) for(int i=a;i<b;i++) \n\n#define rep(i,a) loop(i,0,a)\n\n#define pb push_back\n\n#define mp make_pair\n\n#define it ::iterator\n\n#define all(in) in.begin(),in.end()\n\nconst double PI=acos(-1);\n\nconst double ESP=1e-10;\n\nusing namespace std;\n\nint main(){\n\n  int n;\n\n  cin>>n;\n\n  rep(i,n){\n\n    string s;\n\n    string ans;\n\n    bool han=false;\n\n    if(i==0)getline(cin,s);\n\n    getline(cin,s);\n\n    rep(a,27){\n\n      rep(b,27){\n\n	string tmp=s;\n\n	rep(j,tmp.size())if(isalpha(tmp[j]))tmp[j]=(a*(tmp[j]-'a')+b)%26+'a';\n\n	rep(j,tmp.size()-3){\n\n	  if(tmp.substr(j,4)==""this""){ans=tmp;han=true;}\n\n	  if(tmp.substr(j,4)==""that""){ans=tmp;han=true;}\n\n	}\n\n	if(han==true)break;\n\n      }\n\n      if(han==true)break;\n\n    }\n\n    cout<<ans<<endl;\n\n  }\n\n\n\n\n\n}",0.0
0014,1.0,7762520.4375,2372075.9375,"#include <iostream>\n\n#include <cstdio>\n\n#include <cmath>\n\n#include <cstdlib>\n\n#include <map>\n\n#include <set>\n\n#include <queue>\n\n#include <algorithm>\n\n#include <cstring>\n\n#include <cmath>\n\n#include <sstream>\n\n#include <vector>\n\n#include <string>\n\n#include <iomanip>\n\n#include <bitset>\n\n#define INF	100000000\n\n#define pb	push_back\n\n#define fi first\n\n#define sec second\n\n#define SS stringstream\n\nusing namespace std;\n\ntypedef pair<int, int> P;\n\ntypedef long long int	ll;\n\n\n\nint w, n;\n\nint t = 0;\n\nint dp[1001][1001];\n\nvector<P> vec;\n\n\n\nint rec(int i, int j){\n\n	if(dp[i][j] >= 0) return dp[i][j];\n\n	int res;\n\n	if(i == n) res = 0;\n\n	else if(j < vec[i].sec) res = rec(i+1, j);\n\n	else res = max(rec(i+1, j), rec(i+1, j-vec[i].sec)+vec[i].fi);\n\n	return dp[i][j] = res;\n\n}\n\n\n\nint main(){\n\n	while(scanf(""%d"", &w)){\n\n		t++;\n\n		if(w == 0) break;\n\n		memset(dp, -1, sizeof(dp));\n\n		scanf(""%d"", &n);\n\n		for(int i = 0; i < n; i++){\n\n			int temp1, temp2;\n\n			char trash;\n\n			scanf(""%d%c%d"", &temp1, &trash, &temp2);\n\n			vec.pb(P(temp1, temp2));\n\n		}\n\n		printf(""Case %d:\n"", t);\n\n		printf(""%d\n"", rec(0, w));\n\n		for(int i = 1; i <= w; i++){\n\n			if(rec(0, w-i) != rec(0,w)){\n\n				printf(""%d\n"", w-i+1);\n\n				break;\n\n			}\n\n		}\n\n		vec.clear();\n\n	}\n\n}",0.0
0019,1.0,7100891.8125,6968498.8125,"#include<cstdio>\n\n\n\nusing namespace std;\n\n\n\nint n,s;\n\nint memo[1024][1000];\n\n\n\nint search(int stat,int sum,int dep){\n\n	if(dep==n)	return memo[stat][sum]=(s==sum);\n\n	if(~memo[stat][sum])	return memo[stat][sum];\n\n//	if(sum>s)	return 0;\n\n\n\n	int cnt=0;\n\n	for(int i=0;i<10;i++){\n\n		if((stat&(1<<i))==0){\n\n			stat|=1<<i;\n\n			cnt+=search(stat,sum+i*(n-dep),dep+1);\n\n			stat&=~(1<<i);\n\n		}\n\n	}\n\n	return memo[stat][sum]=cnt;\n\n}\n\n\n\nint main(){\n\n	for(;~scanf(""%d%d"",&n,&s);){\n\n		for(int i=0;i<1024;i++)for(int j=0;j<1000;j++)	memo[i][j]=-1;\n\n		if(n>10 || s>=1000){\n\n			puts(""0"");\n\n			continue;\n\n		}\n\n		printf(""%d\n"",search(0,0,0));\n\n	}\n\n	return 0;\n\n}",0.0
0021,1.0,15406098.25,2387570.4375,"#include<cstdio>\n\n#include<iostream>\n\n\n\n#define INF 2100000000\n\n\n\nusing namespace std;\n\n\n\nint minix(int a,int b,int c){\n\n	if(b>=a && c>=a){\n\n		return a;\n\n	}\n\n	if(a>=b && c>=b){\n\n		return b;\n\n	}\n\n	if(b>=c && a>=c){\n\n		return c;\n\n	}\n\n}\n\n\n\nint main(){\n\n	int n;\n\n	int masu[1002][1002];\n\n	int ura[1002][1002];\n\n	char str[1002];\n\n	while(1){\n\n		for(int i=0;i<=1001;i++){\n\n			for(int j=0;j<=1001;j++){\n\n				masu[i][j]=0;\n\n			}\n\n		}\n\n		scanf(""%d"",&n);\n\n		if(n==0){\n\n			break;\n\n		}\n\n		for(int i=1;i<=n;i++){\n\n			scanf(""%s"",str);\n\n			for(int j=1;j<=n;j++){\n\n				if(str[j-1]=='.'){\n\n					ura[i][j]=0;\n\n				}else{\n\n					ura[i][j]=1;\n\n				}\n\n			}\n\n		}\n\n		\n\n		int maxi=0;\n\n		for(int i=1;i<=n;i++){\n\n			for(int j=1;j<=n;j++){\n\n				if(ura[i][j]==0){\n\n					masu[i][j]=minix(masu[i-1][j],masu[i][j-1],masu[i-1][j-1])+1;\n\n					maxi=max(masu[i][j],maxi);\n\n				}\n\n			}\n\n		}\n\n		\n\n		printf(""%d\n"",maxi);\n\n	}\n\n}",0.0
0022,1.0,8770424.0625,2409968.75,"#include<iostream>\n\n#include<cstring>\n\n#include<algorithm>\n\nusing namespace std;\n\n\n\nint n;\n\nint s[1001][1024];\n\nint calc(int y,int x,int n){\n\n	int a,b,c,d;\n\n	n--;\n\n	a=s[y-1][x-1];\n\n	b=s[y-1][x+n];\n\n	c=s[y+n][x-1];\n\n	d=s[y+n][x+n];\n\n	return d-c-b+a;\n\n}\n\nint main(){\n\n	while(cin>>n,n){\n\n		memset(s,0,sizeof(s));\n\n		for(int i=1;i<=n;i++){\n\n			for(int j=1;j<=n;j++){\n\n				char c;\n\n				cin>>c;\n\n				s[i][j] = (c=='*')+s[i-1][j]+s[i][j-1]-s[i-1][j-1];\n\n			}\n\n		}\n\n		int ans=0;\n\n		for(int i=1;i<=n;i++){\n\n			for(int j=1;j<=n;j++){\n\n				int lb=0,ub=n-max(i,j)+2;\n\n				while(ub-lb>1){\n\n					int m=(lb+ub)/2;\n\n					if(calc(i,j,m))ub=m;\n\n					else lb=m;\n\n				}\n\n				ans=max(ans,lb);\n\n			}\n\n		}\n\n		cout<<ans<<endl;\n\n	}\n\n	return 0;\n\n}",0.0
